Iteration,ET
0,35.341000000000
1,34.080000000000
2,34.263000000000
3,34.267000000000
4,33.922000000000
5,32.404000000000
6,32.282000000000
7,32.377000000000
8,32.348000000000
9,32.541000000000
10,32.624000000000
11,32.409000000000
12,32.346000000000
13,33.326000000000
14,34.686000000000
15,34.798000000000
16,35.735000000000
17,34.083000000000
18,34.505000000000
19,34.407000000000
20,42.571000000000
21,32.952000000000
22,32.833000000000
23,36.571000000000
24,34.858000000000
25,32.969000000000
26,32.807000000000
27,32.859000000000
28,37.224000000000
29,39.532000000000
30,34.558000000000
31,34.007000000000
32,34.066000000000
33,36.873000000000
34,35.522000000000
35,36.500000000000
36,41.602000000000
37,33.542000000000
38,36.294000000000
39,34.083000000000
40,32.606000000000
41,32.861000000000
42,33.417000000000
43,32.466000000000
44,32.744000000000
45,33.087000000000
46,32.492000000000
47,32.498000000000
48,32.402000000000
49,32.396000000000
50,32.652000000000
51,33.803000000000
52,32.652000000000
53,32.346000000000
54,32.754000000000
55,32.600000000000
56,32.578000000000
57,32.491000000000
58,32.451000000000
59,32.587000000000
60,34.750000000000
61,33.128000000000
62,32.443000000000
63,32.317000000000
64,32.395000000000
65,32.384000000000
66,32.362000000000
67,34.066000000000
68,32.413000000000
69,33.159000000000
70,32.697000000000
71,32.332000000000
72,32.302000000000
73,33.420000000000
74,32.379000000000
75,32.623000000000
76,33.055000000000
77,32.207000000000
78,32.422000000000
79,32.499000000000
80,33.805000000000
81,32.623000000000
82,32.524000000000
83,32.486000000000
84,32.610000000000
85,32.653000000000
86,34.912000000000
87,32.857000000000
88,32.593000000000
89,32.613000000000
90,32.503000000000
91,32.564000000000
92,32.905000000000
93,32.378000000000
94,32.384000000000
95,32.396000000000
96,32.441000000000
97,39.875000000000
98,33.961000000000
99,33.432000000000
100,32.645000000000
101,32.396000000000
102,32.484000000000
103,32.538000000000
104,33.864000000000
105,32.286000000000
106,32.575000000000
107,32.580000000000
108,32.404000000000
109,32.279000000000
110,32.334000000000
111,32.008000000000
112,32.312000000000
113,32.372000000000
114,32.593000000000
115,31.884000000000
116,32.379000000000
117,32.555000000000
118,32.502000000000
119,32.585000000000
120,32.758000000000
121,32.863000000000
122,32.808000000000
123,35.284000000000
124,33.093000000000
125,47.281000000000
126,42.143000000000
127,32.566000000000
128,32.396000000000
129,32.279000000000
130,32.494000000000
131,32.406000000000
132,32.564000000000
133,32.710000000000
134,32.821000000000
135,32.708000000000
136,32.575000000000
137,32.378000000000
138,32.500000000000
139,32.520000000000
140,32.360000000000
141,32.407000000000
142,32.397000000000
143,32.448000000000
144,34.407000000000
145,33.591000000000
146,33.140000000000
147,33.470000000000
148,33.121000000000
149,33.073000000000
150,32.903000000000
151,33.520000000000
152,33.819000000000
153,33.233000000000
154,33.145000000000
155,32.985000000000
156,32.904000000000
157,33.130000000000
158,32.987000000000
159,33.023000000000
160,33.124000000000
161,33.208000000000
162,33.073000000000
163,33.082000000000
164,32.921000000000
165,33.031000000000
166,33.018000000000
167,32.691000000000
168,32.946000000000
169,33.083000000000
170,32.640000000000
171,33.097000000000
172,33.196000000000
